9713,511
9778,511
1789,511
10245,276
2080,1133
10245,1298
9397,397
8987,1289
8987,5901
8987,7371
9325,291
9325,5223
8987,2031
3085,877
3085,3710
1217,397
1246,397
1603,8873
1603,1038
1603,1038
1603,8873
5627,711
7945,1118
7945,7283
3145,308
6042,729
8033,1046
10172,1046
4827,2200
4827,2198
7185,1046
1186,1918
1186,3398
1186,8779
1046,897
1046,1044
1046,8650
4921,489
4921,6094
7424,1186
7424,4018
2262,1522
2262,1989
2262,1830
3710,1989
1700,1336
6292,427
6292,427
2331,427
6292,1046
1276,469
7710,469
11051,469
11051,469
4127,469
2744,1046
2091,469
2782,469
13840,971
3387,971
6230,9721
3558,395
7871,511
1416,511
918,511
3585,9713
3585,6352
823,9713
3022,949
9646,949
9646,3812
3022,1802
2132,953
4880,3172
4880,1610
9713,446
9713,694
9713,3649
9713,446
672,1802
4944,282
7047,1198
7047,3758
7001,446
7233,282
6882,826
3527,1802
7001,446
1513,521
1513,3812
7090,446
9936,287
9936,287
3795,287
1398,446
4684,559
7285,1106
7285,7958
7090,446
8017,953
6686,953
6686,953
5205,911
5205,1487
2351,2432
2351,359
8017,953
6219,1515
2417,1314
3933,3520
10109,3787
7975,2432
2351,953
10109,3787
5140,953
3765,953
2577,305
6764,782
3941,518
3062,4276
3062,1365
13213,3015
8062,2713
8062,7930
5279,334
1172,5226
1584,698
1584,7560
1584,3508
1584,4324
1584,2559
7498,7545
7989,1872
4052,9225
4689,5400
3199,2154
1505,3606
7931,5400
949,10419
1273,1136
6597,8678
1247,9920
4797,8327
5031,9908
1578,390
3258,8702
6824,3222
6824,8702
8179,9573
6824,3222
6824,8702
6128,7684
6824,8702
6824,3222
6607,2829
6724,10345
1310,4256
2621,4909
7370,4582
6167,6955
431,5034
493,3670
1241,2838
6167,6955
1972,6815
2047,1967
2060,4341
4826,2496
8112,5830
5272,8310
7353,4993
1761,1724
2587,820
899,2906
10358,567
8409, ISLAMIC REPUBLIC OF (IR)
6269,9629
10115,4681
6749,5292
2973,10463
4133,1421
10172,276
10172,4221
10172,4958
1343,291
1343,2574
1343,2966
9936,277
9936,546
9936,1934
2744,1046
2744,897
2744,1044
854,1046
1513,521
1513,694
1513,3812
4168,3418
8508,305
1584,2823
1584,3351
1584,4324
5461,9303
6310,6179
10015,2525
9695,9303
4509,6444
8714,6178
2046,1967
714,1724
5128,2906
8916,5292
2675,10463
4431,639
4431,7015
639,500
4895,320
1292,500
1577,390
1577,390
1969,2195
1577,390
6773,492
639,492
639,10012
639,492
639,10012
7248,349
2624,311
7917,349
7917,349
7917,349
8025,349
350,2085
350,2085
10020,311
10020,311
10020,311
9111,670
7827,349
7501,311
7337,311
10148,311
10148,5508
7165,3838
7165,3838
6210,2194
3856,3838
8928,3838
4134,3838
3869,614
3869,407
3869,3230
4392,614
7488,1991
4963,862
7025,651
9074,474
6148,488
8400,567
1709,371
7688,1182
8487,458
8388,550
8388,6635
3465,318
10043,318
10172,5373
1343,877
9936,3795
9936,6292
2744,8650
8086,1046
1513,5302
5263,3418
6849,305
1307,9303
1916,6179
6327,2525
3798,9303
7768,6444
1571,1967
6409,1724
10250,2906
4027,5292
5184,10463
3872,639
3872,7015
9963,500
10012,500
10012,639
639,492
639,10012
2276,492
6343,492
5723,349
8025,349
1800,2085
9954,311
10148,311
3869,311
3869,7418
3450,311
7501,311
7281,3838
2247,2194
5525,614
10213,651
4638,474
3342,318
1343,5223
1343,7136
1343,10065
2744,1046
5425,9303
922,9303
9052,6444
6852,1967
9648,500
2276,492
6343,492
6343,5125
1665,349
