nomination_id;nomination_title;nomination_year;nomination_number;nomination_num_nominees;nomination_num_nominators;nomination_category_from_title;nomination_motivation;nomination_comments;other_information;nominator_1_name;nominator_1_id;nominator_1_gender;nominator_1_year_birth;nominator_1_year_death;nominator_1_profession;nominator_1_university;nominator_1_city;nominator_1_country;nominator_1_comments;nominator_1_awarded_prizes;nominee_1_name;nominee_1_id;nominee_1_gender;nominee_1_year_birth;nominee_1_year_death;nominee_1_profession;nominee_1_university;nominee_1_city;nominee_1_country;nominee_1_awarded_prizes;nominee_2_name;nominee_2_id;nominee_2_gender;nominee_2_year_birth;nominee_2_year_death;nominee_2_profession;nominee_2_university;nominee_2_city;nominee_2_country;nominee_2_awarded_prizes;nominee_3_name;nominee_3_id;nominee_3_gender;nominee_3_year_birth;nominee_3_year_death;nominee_3_profession;nominee_3_university;nominee_3_city;nominee_3_country;nominee_3_awarded_prizes;nominee_4_name;nominee_4_id;nominee_4_gender;nominee_4_year_birth;nominee_4_year_death;nominee_4_profession;nominee_4_university;nominee_4_city;nominee_4_country;nominee_4_awarded_prizes;nominee_5_name;nominee_5_id;nominee_5_gender;nominee_5_year_birth;nominee_5_year_death;nominee_5_profession;nominee_5_university;nominee_5_city;nominee_5_country;nominee_5_awarded_prizes;nominee_6_name;nominee_6_id;nominee_6_gender;nominee_6_year_birth;nominee_6_year_death;nominee_6_profession;nominee_6_university;nominee_6_city;nominee_6_country;nominee_6_awarded_prizes;nominee_7_name;nominee_7_id;nominee_7_gender;nominee_7_year_birth;nominee_7_year_death;nominee_7_profession;nominee_7_university;nominee_7_city;nominee_7_country;nominee_7_awarded_prizes;nominee_8_name;nominee_8_id;nominee_8_gender;nominee_8_year_birth;nominee_8_year_death;nominee_8_profession;nominee_8_university;nominee_8_city;nominee_8_country;nominee_8_awarded_prizes;nominee_9_name;nominee_9_id;nominee_9_gender;nominee_9_year_birth;nominee_9_year_death;nominee_9_profession;nominee_9_university;nominee_9_city;nominee_9_country;nominee_9_awarded_prizes
3564;Nomination for Nobel Peace Prize;1935;10 - 1;1;1;Peace;;;;J Desgranges;2389;M;;;Member of the French parliament;;Morbihan;FRANCE (FR);;;I A Davidson;2155;M;;;;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3565;Nomination for Nobel Peace Prize;1936;10 - 1;1;1;Peace;;;"nominee_1_Motivation: Efremoff founded and organized the Russian Inter-Parliamentary Group(1909). He worked within the League of Nations to establish an international mediation institution by proposing an International Institute of Conciliation. He published many articles on the subject in the ""Revue de Droit International"".";Francisco José Urrutia;9466;M;;;Member of the Permanent Court of International Justice;;;COLOMBIA (CO);;;Jean Efremoff;2696;M;;;Former member of parliament. Former Minister of Justice;;Paris;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3566;Nomination for Nobel Peace Prize;1937;10 - 1;1;0;Peace;;;nominee_1_Nominator 1: Name: | nominee_1_Nominator 2: Name:;;;;;;;;;;;;G P Ghenoff;3409;M;;;Professor of Law (Jurisprudence);Sofia University;Sofia;BULGARIA (BG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3567;Nomination for Nobel Peace Prize;1938;10 - 1;1;1;Peace;;;"nominee_1_Motivation: Gandhi was nominated as an advocate of racial, social and political peace, and for being ""a living incarnation of the ideal of peace itself"" while leading the Indian nationalist movement in a non-violent struggle against British rule. Gandhi managed to unite conflicting religious groups in a peaceful cooperation guided by the ideals of Ahimsa (""noninjury"") and Satyagraha (""truth force"").";Ole Colbjørnsen;1876;M;;;Deputy member of the Norwegian parliament;;Oslo;NORWAY (NO);;;Mahatma Mohandas Karamchand Gandhi;3320;M;1869;1948;Jurist. Leader of Indian nationalist, independence and social justice movements;;Delhi;INDIA (IN);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3568;Nomination for Nobel Peace Prize;1939;10 - 1;1;1;Peace;;;"nominee_1_Motivation: Hull was nominated for his efforts to improve relations between the USA and Latin America. He encouraged détente and a spirit of peace on the American continent through his Pan-American policy, the so-called ""Good Neighbor Policy"". Hull also made efforts to establish a liberal economic policy and to remove international trade restrictions.";Carlos Saavedra Lamas;5174;M;1878;1959;Nobel Peace Prize laureate 1936.;;Buenos Aires;ARGENTINA (AR);The nomination was dated 7th of February 1938 and was submitted by the Argentine Minister to Stockholm.;;Cordell Hull;4368;M;1871;1955;Secretary of State (1933-44).;;Washington, DC;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3569;Nomination for Nobel Peace Prize;1945;10 - 1;2;1;Peace;;;nominee_2_Motivation: The Red Cross was nominated for its efforts to further solidarity, brotherhood and humanity through its work for injured soldiers and prisoners of war.;Frede Castberg;1651;M;;;Professor of Jurisprudence. Advisor to the Norwegian Nobel Committee.;University of Oslo;Oslo;NORWAY (NO);;;The Norwegian Committee of the Red Cross;9164;;;;National branch of the International Committee of the Red Cross;;Oslo;NORWAY (NO);;The International Committee of the Red Cross;9141;;;;NGO aimed at aiding victims of war and ensuring observance of humanitarian law;;Geneva;SWITZERLAND (CH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3570;Nomination for Nobel Peace Prize;1946;10 - 1;1;1;Peace;;;nominee_1_Motivation: Union des Associations pour la Société des Nations was founded in 1919 as a debate forum for the League of Nations. Its aim was to reach a decision on how to organize the League of Nations. The Union prepared cases for the League of Nations, and it contributed to increased understanding between the national associations of the League. The Union had also initiated several peace conferences.;Henri Rolin;7824;M;;;Professor. Senator. Member of the Institute of International Law;Université Libre de Bruxelles;Brussels;BELGIUM (BE);;;Union des Associations pour la Société des Nations;9448;;;;Union of Associations of the League of Nations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3571;Nomination for Nobel Peace Prize;1947;10 - 1;1;1;Peace;;;nominee_1_Motivation: Boyd Orr was responsible for Great Britain's food policy during World War II, and he actively promoted international coordination of food supplies. In 1945 the UN Food and Agriculture Organization was formally established, and Boyd Orr became its director-general. He initiated the founding of the International Emergency Food Council in 1946, and its aim was to meet the urgent need to revive agricultural production in order to prevent the famine that threatened numerous countries in the world.;G Bailey;629;M;;;Member of the British parliament;;London;UNITED KINGDOM (GB);;;John Boyd Orr of Brechin;1260;M;1880;1971;Physician and nutritionist. Founding director-general of the UN Food and Agricultural Organization.;;;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3572;Nomination for Nobel Peace Prize;1948;10 - 1;1;1;Peace;;;nominee_1_Motivation: Milhaud was nominated for his works on international political economy.;Albert Picot;7231;M;;;Member of the Swiss parliament;;;SWITZERLAND (CH);;;Edgar Milhaud;6278;M;1873;;Political economist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3573;Nomination for Nobel Peace Prize;1949;10 - 1;1;1;Peace;;;nominee_1_Motivation: Montessori furthered international understanding through her educational work.;Maria Jervolino;4586;F;;;Member of the Italian parliament;;Rome;ITALY (IT);;;Maria Montessori;6383;F;1870;1952;Educator. Inventor of the Montessori Educational System;Rome;Rome;ITALY (IT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3574;Nomination for Nobel Peace Prize;1950;10 - 1;1;1;Peace;;;nominee_1_Motivation: Coudenhove-Kalergi was nominated for his work for European unity. | nominator_1_State: NY;Arnold J Zurcher;10437;M;;;Professor of Political Science;New York University;New York;UNITED STATES (US);;;Count Richard Nicolas Coudenhove-Kalergi;1991;M;1894;1972;Historian and writer;Vienna;Vienna;AUSTRIA (AT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3575;Nomination for Nobel Peace Prize;1951;10 - 1;1;1;Peace;;;nominee_1_Motivation: Dobson was nominated for his philanthropism, especially his efforts to fund international friendship journeys.;Estes Kefauer;4760;M;;;Member of the US Congress (Senate);;;UNITED STATES (US);;;Allen Dobson;2456;M;;;Businessman;;;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3576;Nomination for Nobel Peace Prize;1953;10 - 1;1;1;Peace;;;nominee_1_Motivation: Förster was nominated for his significant contribution to the German peace movement in the period between the two world wars. Förster promoted ethics, peace and international arbitration. He worked to improve the relations between France and Germany. Förster represented the pedagogic school of the peace movement. He was not motivated by political sentiments, but by his religious understanding and perception of ethics. He was a proponent of anti-militarism.;8 Members of Bundestag;;;;;;;;GERMANY (DE);;;Friedrich Wilhelm Förster;3285;M;1869;1966;Professor of Mathematics. Educator.;;Berlin;GERMANY (DE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3577;Nomination for Nobel Peace Prize;1954;10 - 1;1;1;Peace;;;nominee_1_Motivation: For his contrubution in founding the United Nations and his literary work on international issues.;Edgar Algernon Robert Gascoyne Viscount Cecil of Chelwood;9672;M;1864;1958;;;London;UNITED KINGDOM (GB);;;Philip Noel-Baker;6735;M;1889;1982;MP;;London;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3578;Nomination for Nobel Peace Prize;1955;10 - 1;1;1;Peace;;;nominee_1_State: WA;Philip Marshall Brown;1382;M;;;Dr.;Institute of International Law (Institut de Droit International);The Hague;NETHERLANDS (NL);;;John Foster Dulles;2585;M;1888;1959;Secretary of State;;Washington, DC;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3579;Nomination for Nobel Peace Prize;1956;10 - 1;1;1;Peace;;;nominee_1_Motivation: He has discovered the fundamentals of peace amongst the various races whose Creeds differ, namely - accepting the one Harmonizing Fact of One Great Spirit.;José Vibora;9640;M;;;Professor;Andres University;Havana;CUBA (CU);;;Earl Anglin James;4536;M;;;Canadian philatropist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3580;Nomination for Nobel Prize in Physics;1909;10 - 2;1;1;Physics;;;;Edvard Phragmén;7216;M;;;member of the Royal Swedish Academy of Sciences;;;SWEDEN (SE);;;Wilbur Wright;10322;M;1867;1912;;;;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3581;Nomination for Nobel Prize in Physics;1929;10 - 2;1;1;Physics;;;;Arthur Haas;3756;M;;;chairholder at invited university;;;AUSTRIA (AT);;;Pierre Weiss;10065;M;1865;1940;;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3582;Nomination for Nobel Prize in Physics;1934;10 - 2;3;1;Physics;;;;Jean B Perrin;7136;M;1870;1942;member of the Royal Swedish Academy of Sciences, NP phy 1926;Sorbonne;Paris;FRANCE (FR);;Physics 1926;Aimé Cotton;1989;M;1869;;;;;FRANCE (FR);;Pierre Weiss;10065;M;1865;1940;;;;FRANCE (FR);;Paul Langevin;5223;M;1872;1946;;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3583;Nomination for Nobel Prize in Chemistry;1932;10 - 2;2;1;Chemistry;;;;Hans K von Euler-Chelpin;9751;M;1873;1964;member of the Nobel Committee for chemistry, NP che 1929;Stockholm University;Stockholm;SWEDEN (SE);;Chemistry 1929;Gustav G Embden;2780;M;1874;1933;;;;GERMANY (DE);;Carl A Neuberg;6657;M;1877;1956;;;;GERMANY (DE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3584;Nomination for Nobel Prize in Literature;1901;10 - 2;1;1;Literature;;;"nominee_1_Motivation: ""Oeuvres"" ('Works'), 1865-1888, 5 volumes. ""Que sais-je? Examen de conscience""('What do I know? Examining our conscience'), 1896. ""Testament poétique"" ('Poetic testament'), 1901.";Gustave Lanson;5233;M;;;Literature historian;University of Paris;Paris;FRANCE (FR);;;Sully (René) F Prudhomme;7470;M;1839;1907;Poet;French Academy (Académie Française);Paris;FRANCE (FR);Literature 1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3585;Nomination for Nobel Prize in Literature;1903;10 - 2;1;1;Literature;;;"nominee_1_Motivation: ""The Epic of Hades and other poems"".";John Rhys;8365;M;;;Professor of Celtic;University of Oxford;Oxford;UNITED KINGDOM (GB);;;Lewis Morris;6444;M;1833;1907;Poet;;Carmarthen;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3586;Nomination for Nobel Prize in Literature;1907;10 - 2;1;1;Literature;;;;9 members of the Greek Artists´ Association (Association des artistes grecs);;;;;;;;GREECE (GR);;;Georgios Souris;8678;M;1852;1919;Poet;;Chania (Canea), Crete;GREECE (GR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3587;Nomination for Nobel Prize in Literature;1912;10 - 2;1;1;Literature;;;;Charles Louis de Saulces de Freycinet;2295;M;;;Politician;French Academy (Académie Française);Paris;FRANCE (FR);;;Pierre (Louis M) Loti (Viaud);5648;M;1850;1923;Author;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3588;Nomination for Nobel Prize in Literature;1916;10 - 2;1;1;Literature;;;;Claudius Wilkens;10197;M;;;Philosopher, member of the Royal Danish Academy of Sciences and Letters;Royal Danish Academy of Sciences and Letters (K. Danske Videnskabernes Selskab);Copenhagen;DENMARK (DK);;;Karl Gjellerup;3474;M;1857;1919;Author;;;DENMARK (DK);Literature 1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3589;Nomination for Nobel Prize in Literature;1917;10 - 2;1;1;Literature;;;;Fredrik Wulff;10326;M;;;Linguist, professor;;Lund;SWEDEN (SE);;;Angel Guimerà y Jorge;3713;M;1847;1924;Author;;Barcelona;SPAIN (ES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3590;Nomination for Nobel Prize in Literature;1922;10 - 2;1;1;Literature;;;;Karl F Sundén;8901;M;;;Professor;;Gothenburg;SWEDEN (SE);;;Thomas Hardy;3892;M;1840;1928;Author;;;UNITED KINGDOM (GB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3591;Nomination for Nobel Prize in Literature;1930;10 - 2;1;1;Literature;;;;Friedrich Gundolf;3719;M;;;Professor of history of German literature;;Heidelberg;GERMANY (DE);;;Rudolf Kassner;4726;M;1873;1959;Author;;;AUSTRIA (AT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3592;Nomination for Nobel Prize in Literature;1931;10 - 2;1;1;Literature;;;;Johannes Brøndum-Nielsen;1418;M;1881;1977;Professor, Scandinavian philologist;;Copenhagen;DENMARK (DK);;;Johannes V Jensen;4582;M;1873;1950;Author;;;DENMARK (DK);Literature 1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3593;Nomination for Nobel Prize in Literature;1932;10 - 2;1;1;Literature;;;;Eemil N Setälä;8422;M;;;Former professor, politician, member of Finnish Society of Sciences and Letters;Finnish Society of Sciences and Letters;Helsinki;FINLAND (FI);;;Frans E Sillanpää;8537;M;1888;1964;Author;;;FINLAND (FI);Literature 1939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3594;Nomination for Nobel Prize in Literature;1939;10 - 2;1;1;Literature;;;;Eivind Berggrav;899;M;;;Bishop, member of the Norwegian Academy of Science and Letters;Norwegian Academy of Science and Letters (Norske Videnskaps-Akademi);Oslo;NORWAY (NO);;;Johan Falkberget;2906;M;1879;1967;Author;;;NORWAY (NO);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3595;Nomination for Nobel Prize in Literature;1946;10 - 2;1;1;Literature;;;;Andreas Hofgaard Winsnes;10250;M;1889;1972;Professor of European literature, literature historian;University of Oslo;Oslo;NORWAY (NO);;;Arnulf Øverland;10463;M;1889;1968;Author;;;NORWAY (NO);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3596;Nomination for Nobel Peace Prize;1905;10 - 2;1;1;Peace;;;"nominee_1_Motivation: Moneta became active in the peace movement in 1870. In 1878 he helped establish the League of Liberty, Brotherhood and Peace in Milan. In 1887 he helped to found the Society for International Peace and Justice, and the Lombard Union for International Peace and Understanding, of which he became president. Moneta regularly attended international peace congresses, and from 1895 onwards he was a member of the Permanent Interntional Peace Bureau. He actively worked to establish better understanding between countries on the verge of conflict, especially through arbitration. He was also editor of the journal ""La Vita Internazionale"".";Napoleone Colajanni;1902;M;1847;1921;Member of the Italian parliament;;;ITALY (IT);;;Ernesto Teodoro Moneta;6368;M;1833;1918;Editor and journalist. President of the Lombard League of Peace/ leader of the Italian peace movement.;;Milan;ITALY (IT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3597;Nomination for Nobel Peace Prize;1907;10 - 2;1;1;Peace;;;"nominee_1_Motivation: Moneta became active in the peace movement in 1870. In 1878 he helped establish the League of Liberty, Brotherhood and Peace in Milan. In 1887 he helped to found the Society for International Peace and Justice, and the Lombard Union for International Peace and Understanding, of which he became president. Moneta regularly attended international peace congresses, and from 1895 onwards he was a member of the Permanent Interntional Peace Bureau. He actively worked to establish better understanding between countries on the verge of conflict, especially through arbitration. He was also editor of the journal ""La Vita Internazionale"".";Jacques Novikow;6773;M;;;Sociologist. Member of the Commission of the Permanent International Peace Bureau.;;Odessa (Odesa);UKRAINE (UA);;;Ernesto Teodoro Moneta;6368;M;1833;1918;Editor and journalist. President of the Lombard League of Peace/ leader of the Italian peace movement.;;Milan;ITALY (IT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3598;Nomination for Nobel Peace Prize;1908;10 - 2;1;1;Peace;;;nominee_1_Motivation: D'Estournelles represented France at The Hague Peace Conference in 1899. He attempted to get acceptance for the principle of compulsory arbitration, but this was not possible. After the conference he strongly promoted the Permanent Court of Arbitration, and he founded the French Groupe de l'Arbitrage in 1903. D'Estournelles advocated Franco-German conciliation and wanted a European federation. In 1905 he founded Conciliation Internationale, a network of peace workers aimed at influencing public opinion. At the second conference at The Hague in 1907, d'Estournelles continued his work to strengthen international arbitration.;Frédéric Passy;7015;M;1822;1912;Veteran peace worker. Cofounder of the Inter-Parliamentary Union. Nobel Peace Prize laureate 1901.;;Neuilly;FRANCE (FR);Full name: Paul Henri Benjamin Balluet, Baron d'Estournelles de Constant de Rébecque.;;Paul Henri Benjamin Balluet d`Estournelles de Constant (Baron de Constant de Rébecque);2086;M;1852;1924;Former diplomat. Member of the French parliament. Member of the Permanent Court of Arbitration at The Hague.;;Paris;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3599;Nomination for Nobel Peace Prize;1910;10 - 2;1;1;Peace;;;"nominee_1_Motivation: Fried founded the journal ""Die Waffen Nieder"" in 1891, and he established the German Peace Society (Deutsche Friedensgesellschaft) in 1892. He also published ""Monatliche Friedenskorrespondenz"" and edited ""Die Friedenswarte"". Fried promoted international law, pacifism and disarmament, and he worked closely with Bertha von Suttner. Author of the books ""Pan-Amerika"" and ""Der Kaiser und der Weltfrieden"".";Walther Adrian Schücking;8298;M;1875;1935;Professor of Law (Jurisprudence).;University of Marburg;Marburg;GERMANY (DE);;;Alfred Hermann Fried;3227;M;1864;1921;Editor and journalist. Member of the Commission of the Permanent International Peace Bureau.;;Vienna;AUSTRIA (AT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3600;Nomination for Nobel Peace Prize;1919;10 - 2;1;1;Peace;;;"nominee_1_State: DC | nominee_1_Motivation: Wilson advocated international law and arbitration. In January 1917 he had made an unsuccessful attempt to persuade the belligerents to end the war, calling for a ""peace without victory"". After the USA had entered the war, Wilson outlined his view on a post-war settlement through his ""Fourteen points"". These became the guiding principles for the Paris Peace Conference (1919-20), and included the establishment of the League of Nations. However, Wilson failed to obtain ratification of the Treaty of Versailles, and the USA did not join the League of Nations. | nominator_1_State: MA";Fannie Fern Andrews;438;F;;;Member of the Commission of the Permanent International Peace Bureau.;;Boston;UNITED STATES (US);;;Thomas Woodrow Wilson;10230;M;1856;1924;President (1913-1921).;;Washington, DC;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3601;Nomination for Nobel Peace Prize;1928;10 - 2;1;1;Peace;;;;Margareta Stegman;8758;F;;;Member of the German parliament;;;GERMANY (DE);;;Auguste-Henri Forel;3112;M;1848;1931;Natural scientist (neuroanatomist, psychiatrist and entomologist);University of Zurich;Zurich;SWITZERLAND (CH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3602;Nomination for Nobel Peace Prize;1929;10 - 2;1;1;Peace;;;"nominee_1_State: IL | nominee_1_Motivation: Levinson originated and publicized the ""outlawry of war"" movement in the United States, and in 1918 he argued that violence committed by nation-states ought to be declared illegal. He assisted in drafting the Kellogg-Briand Pact of 1928. It condemned war as a tool of national diplomacy. | nominator_1_State: CT";Irving Fisher;3040;M;;;Professor of Political Economy;Yale University;New Haven;UNITED STATES (US);;;Salmon Oliver Levinson;5432;M;1865;1941;Lawyer and peace activist;;Chicago;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3603;Nomination for Nobel Peace Prize;1930;10 - 2;2;1;Peace;;;nominee_2_Motivation: Ibàñez del Campo and Leguía y Salcedo were nominated for their efforts to settle the profound and long-lasting conflict between Chile and Peru over the Tacna-Arica provinces, a source of conflict between the two countries. The nominators emphasized the importance this diplomatic settlement would have for the South American continent.;Ragnar Knoph;4924;M;;;Professor of Law (Jurisprudence);University of Oslo;Oslo;NORWAY (NO);;;Carlos Ibàñez del Campo;4432;M;1877;1960;President (1927-1931);;Santiago;CHILE (CL);;Augusto Bernardino Leguía y Salcedo;5345;M;1863;1932;Businessman. Former President (1908-12, 1919-30);;Lima;PERU (PE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3604;Nomination for Nobel Peace Prize;1931;10 - 2;1;1;Peace;;;nominee_1_Motivation: Clémentel was nominated for his contribution to the establishment of the International Chamber of Commerce, and for being an advocate of peace, pacifism and international understanding.;Ettore Conti;1928;M;;;Member of the Italian parliament;;Rome;ITALY (IT);;;Étienne Clémentel;1840;M;1864;1936;Jurist and politician;;;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3605;Nomination for Nobel Peace Prize;1936;10 - 2;1;1;Peace;;;"nominee_1_Motivation: Efremoff founded and organized the Russian Inter-Parliamentary Group(1909). He worked within the League of Nations to establish an international mediation institution by proposing an International Institute of Conciliation. He published many articles on the subject in the ""Revue de Droit International"".";Fernand Merlin;6201;M;;;Member of the French parliament and the Inter-Parliamentary Council;;Paris;FRANCE (FR);;;Jean Efremoff;2696;M;;;Former member of parliament. Former Minister of Justice.;;Paris;FRANCE (FR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3606;Nomination for Nobel Peace Prize;1939;10 - 2;1;1;Peace;;;"nominee_1_Motivation: Hull was nominated for his efforts to improve relations between the USA and Latin America. He encouraged détente and a spirit of peace on the American continent through his Pan-American policy, the so-called ""Good Neighbor Policy"". Hull also made efforts to establish a liberal economic policy and to remove international trade restrictions. Roosevelt emphasized Hull's efforts to lower tariff barriers by the application of reciprocal trade agreement methods.";Franklin Delano Roosevelt;7856;M;1882;1945;President (1933-1945).;;Washington, DC;UNITED STATES (US);;;Cordell Hull;4368;M;1871;1955;Secretary of State (1933-44).;;Washington, DC;UNITED STATES (US);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
