Category;1/1;1/2;1/3;Organisation;Multiple Recipients;Posthumous;Declined;Forced To Decline;Not Awarded In
Medicine;40;36;39;0;0;Ralph Steinman (2011);;Gerhard Domagk (1939);1915, 1916, 1917, 1918, 1921, 1925, 1940, 1941, 1942
Physics;47;33;38;0;John Bardeen (1956, 1972), Marie Curie (1903 Physics, 1911 Chemistry);;;;1916, 1931, 1934, 1940, 1941, 1942
Chemistry;63;25;28;0;Marie Curie (1903 Physics, 1911 Chemistry), Linus Pauling (1954 Chemistry, 1962 Peace), Frederick Sanger (1958, 1980), K. Barry Sharpless (2001, 2022);;;Richard Kuhn (1938), Adolf Butenandt (1939);1916, 1917, 1919, 1924, 1933, 1940, 1941, 1942
Economics;26;20;10;0;0;;;;
Literature;113;4;0;0;0;Erik Axel Karlfeldt (1931);Jean Paul Sartre (1964);Boris Pasternak (1958);1914, 1918, 1935, 1940, 1941, 1942, 1943
Peace;71;31;3;31;International Committee of the Red Cross (1917, 1944, 1963),  Office of the United Nations High Commissioner for Refugees (1954, 1981), Linus Pauling (1954 Chemistry, 1962 Peace);Dag Hammarskjöld (1961);Le Duc Tho (1973);0;1914, 1915, 1916, 1918, 1923, 1924, 1928, 1932, 1939, 1940, 1941, 1942, 1943, 1948, 1955, 1956, 1966, 1967, 1972
