ID_Laureate;AwardeeDisplayName;LaureateNameKnown;LaureateNameFirst;LaureateNameLast;LaureateNameFull;LaureateNamePenOriginal;Filename;LaureateGender;OrganisationName;OrganisationNameNative;OrganisationAcronym;OrganisationFoundedDate;OrganisationFoundedCity;OrganisationFoundedCityNow;OrganisationFoundedCityNowWiki;OrganisationFoundedCountry;OrganisationFoundedCountryNow;OrganisationFoundedNowWiki;OrganisationFoundedContinent;BirthDate;BirthCity;BirthCityNow;BirthCityNowWiki;BirthCityNowLat;BirthCityNowLon;BirthCountry;BirthCountryNow;BirthCountryNowWiki;BirthCountryLat;BirthCountryLon;BirthContinent;DeathDate;DeathCity;DeathCityNow;DeathCityNowWiki;DeathCityLat;DeathCityLon;DeathCountry;DeathCountryNow;DeathCountryNowWiki;DeathCountryLat;DeathCountryLon;DeathContinent;WikipediaSlug;WikipediaURL;WikidataID;WikidataURL;Prize0_AwardYear;Prize0_Category;Prize0_SortOrder;Prize0_Portion;Prize0_DateAwarded;Prize0_Status;Prize0_Amount;Prize0_AmountAdjusted_;Prize0_Motivation;Prize0_MotivationTop;Prize0_Affiliation0_Name;Prize0_Affiliation0_NameNow;Prize0_Affiliation0_NameNative;Prize0_Affiliation0_City;Prize0_Affiliation0_CityNow;Prize0_Affiliation0_CityLatitude;Prize0_Affiliation0_CityLongitude;Prize0_Affiliation0_Country;Prize0_Affiliation0_CountryNow;Prize0_Affiliation0_CountryLat;Prize0_Affiliation0_CountryLon;Prize0_Affiliation0_Continent;Prize0_Affiliation1_Name;Prize0_Affiliation1_NameNow;Prize0_Affiliation1_NameNative;Prize0_Affiliation1_City;Prize0_Affiliation1_CityNow;Prize0_Affiliation1_CityLatitude;Prize0_Affiliation1_CityLongitude;Prize0_Affiliation1_Country;Prize0_Affiliation1_CountryNow;Prize0_Affiliation1_CountryLat;Prize0_Affiliation1_CountryLon;Prize0_Affiliation1_Continent;Prize0_Residence0_City;Prize0_Residence0_CityNow;Prize0_Residence0_Country;Prize0_Residence0_CountryNow;Prize0_Residence0_Continent;Prize0_Residence1_City;Prize0_Residence1_CityNow;Prize0_Residence1_Country;Prize0_Residence1_CountryNow;Prize0_Residence1_Continent;Prize1_AwardYear;Prize1_Category;Prize1_SortOrder;Prize1_Portion;Prize1_DateAwarded;Prize1_Status;Prize1_Amount;Prize1_AmountAdjusted_;Prize1_Motivation;Prize1_MotivationTop;Prize1_Affiliation0_Name;Prize1_Affiliation0_NameNow;Prize1_Affiliation0_NameNative;Prize1_Affiliation0_City;Prize1_Affiliation0_CityNow;Prize1_Affiliation0_CityLatitude;Prize1_Affiliation0_CityLongitude;Prize1_Affiliation0_Country;Prize1_Affiliation0_CountryNow;Prize1_Affiliation0_CountryLat;Prize1_Affiliation0_CountryLon;Prize1_Affiliation0_Continent;Prize2_AwardYear;Prize2_Category;Prize2_SortOrder;Prize2_Portion;Prize2_DateAwarded;Prize2_Status;Prize2_Amount;Prize2_AmountAdjusted_;Prize2_Motivation;Prize2_MotivationTop;Prize0_Affiliation2_Name;Prize0_Affiliation2_NameNow;Prize0_Affiliation2_NameNative;Prize0_Affiliation2_City;Prize0_Affiliation2_CityNow;Prize0_Affiliation2_CityLatitude;Prize0_Affiliation2_CityLongitude;Prize0_Affiliation2_Country;Prize0_Affiliation2_CountryNow;Prize0_Affiliation2_CountryLat;Prize0_Affiliation2_CountryLon;Prize0_Affiliation2_Continent;Prize0_Affiliation3_Name;Prize0_Affiliation3_NameNow;Prize0_Affiliation3_NameNative;Prize0_Affiliation3_City;Prize0_Affiliation3_CityNow;Prize0_Affiliation3_CityLatitude;Prize0_Affiliation3_CityLongitude;Prize0_Affiliation3_Country;Prize0_Affiliation3_CountryNow;Prize0_Affiliation3_CountryLat;Prize0_Affiliation3_CountryLon;Prize0_Affiliation3_Continent
1042;Han Kang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Seoul;Seoul;37.5665;126.9780;South Korea;South Korea;36.000000;128.000000;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043;Nihon Hidankyo;;;;;;;;;;;;;;;;;;;;Tokyo;Tokyo;;35.6895;139.6917;Japan;Japan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.6895;139.6917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1046;James A. Robinson;;;;;;;;;;;;;;;;;;;;Worcester;Worcester;;52.1920;-2.2200;United Kingdom;United Kingdom;https://www.wikidata.org/wiki/Q145;54.600000;-2.000000;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
