ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
825;Luc Montagnier;Unknown;
493;Ludwig Quidde;Unknown;
607;Luigi Pirandello;Unknown;
89;Luis Alvarez;Unknown;
239;Luis Leloir;Unknown;
977;M. Stanley Whittingham;Unknown;
827;Makoto Kobayashi;Unknown;
233;Manfred Eigen;Unknown;
29;Manne Siegbahn;Unknown;
79;Maria Goeppert Mayer;Unknown;
1005;Maria Ressa;Unknown;
6;Marie Curie;Unknown;
282;Mario J. Molina;Unknown;
811;Mario R. Capecchi;Unknown;
854;Mario Vargas Llosa;Unknown;
100;Martin Ryle;Unknown;
159;Martinus J.G. Veltman;Unknown;
754;Masatoshi Koshiba;Unknown;
581;Maurice Maeterlinck;Unknown;
374;Maurice Wilkins;Unknown;
391;Max Delbrück;Unknown;
23;Max Planck;Unknown;
352;Max Theiler;Unknown;
19;Max von Laue;Unknown;
904;May-Britt Moser;Unknown;
1019;Memorial;Unknown;
705;Merton H. Miller;Unknown;
986;Michael Houghton;Unknown;
984;Michael Kremer;Unknown;
279;Michael Smith;Unknown;
940;Michael W. Young;Unknown;
974;Michel Mayor;Unknown;
552;Mikhail Gorbachev;Unknown;
638;Mikhail Sholokhov;Unknown;
688;Milton Friedman;Unknown;
880;Mo Yan;Unknown;
1016;Morten Meldal;Unknown;
718;Myron Scholes;Unknown;
967;Nadia Murad;Unknown;
503;Nansen International Office for Refugees;Unknown;
925;National Dialogue Quartet;Unknown;
118;Nicolaas Bloembergen;Unknown;
82;Nicolay G. Basov;Unknown;
429;Niels K. Jerne;Unknown;
295;Niels Ryberg Finsen;Unknown;
402;Nikolaas Tinbergen;Unknown;
220;Nikolay Semenov;Unknown;
135;Norman F. Ramsey;Unknown;
196;Norman Haworth;Unknown;
238;Odd Hassel;Unknown;
515;Office of the United Nations High Commissioner for Refugees;Unknown;
979;Olga Tokarczuk;Unknown;
847;Oliver E. Williamson;Unknown;
935;Oliver Hart;Unknown;
813;Oliver Smithies;Unknown;
893;Organisation for the Prohibition of Chemical Weapons;Unknown;
829;Osamu Shimomura;Unknown;
210;Otto Diels;Unknown;
202;Otto Hahn;Unknown;
73;Owen Chamberlain;Unknown;
35;Owen Willans Richardson;Unknown;
645;Pablo Neruda;Unknown;
622;Pär Lagerkvist;Unknown;
53;Patrick M.S. Blackett;Unknown;
648;Patrick White;Unknown;
679;Paul A. Samuelson;Unknown;
40;Paul A.M. Dirac;Unknown;
764;Paul C. Lauterbur;Unknown;
287;Paul D. Boyer;Unknown;
281;Paul J. Crutzen;Unknown;
246;Paul J. Flory;Unknown;
197;Paul Karrer;Unknown;
834;Paul Krugman;Unknown;
969;Paul M. Romer;Unknown;
922;Paul Modrich;Unknown;
346;Paul Müller;Unknown;
995;Paul R. Milgrom;Unknown;
173;Paul Sabatier;Unknown;
70;Pavel A. Cherenkov;Unknown;
51;Percy W. Bridgman;Unknown;
477;Permanent International Peace Bureau;Unknown;
856;Peter A. Diamond;Unknown;
769;Peter Agre;Unknown;
455;Peter C. Doherty;Unknown;
195;Peter Debye;Unknown;
888;Peter Higgs;Unknown;
370;Peter Medawar;Unknown;
251;Peter Mitchell;Unknown;
383;Peyton Rous;Unknown;
1023;Philip Dybvig;Unknown;
351;Philip S. Hench;Unknown;
107;Philip W. Anderson;Unknown;
9;Philipp Lenard;Unknown;
449;Phillip A. Sharp;Unknown;
1026;Pierre Agostini;Unknown;
5;Pierre Curie;Unknown;
141;Pierre-Gilles de Gennes;Unknown;
3;Pieter Zeeman;Unknown;
64;Polykarp Kusch;Unknown;
561;Pugwash Conferences on Science and World Affairs;Unknown;
110;Pyotr Kapitsa;Unknown;
583;Rabindranath Tagore;Unknown;
677;Ragnar Frisch;Unknown;
385;Ragnar Granit;Unknown;
753;Raymond Davis Jr.;Unknown;
989;Reinhard Genzel;Unknown;
713;Reinhard Selten;Unknown;
407;Renato Dulbecco;Unknown;
755;Riccardo Giacconi;Unknown;
140;Richard E. Taylor;Unknown;
851;Richard F. Heck;Unknown;
949;Richard H. Thaler;Unknown;
946;Richard Henderson;Unknown;
448;Richard J. Roberts;Unknown;
198;Richard Kuhn;Unknown;
215;Richard L.M. Synge;Unknown;
276;Richard R. Ernst;Unknown;
796;Richard R. Schrock;Unknown;
698;Richard Stone;Unknown;
182;Richard Zsigmondy;Unknown;
554;Rigoberta Menchú Tum;Unknown;
155;Robert B. Laughlin;Unknown;
996;Robert B. Wilson;Unknown;
231;Robert B. Woodward;Unknown;
717;Robert C. Merton;Unknown;
151;Robert C. Richardson;Unknown;
502;Robert Cecil, Viscount Cecil of Chelwood;Unknown;
714;Robert E. Lucas Jr.;Unknown;
284;Robert F. Curl Jr.;Unknown;
771;Robert F. Engle III;Unknown;
848;Robert G. Edwards;Unknown;
795;Robert H. Grubbs;Unknown;
271;Robert Huber;Unknown;
799;Robert J. Aumann;Unknown;
297;Robert Koch;Unknown;
701;Robert M. Solow;Unknown;
720;Robert Mundell;Unknown;
232;Robert S. Mulliken;Unknown;
96;Robert Schrieffer;Unknown;
709;Robert W. Fogel;Unknown;
388;Robert W. Holley;Unknown;
112;Robert Woodrow Wilson;Unknown;
770;Roderick MacKinnon;Unknown;
399;Rodney R. Porter;Unknown;
822;Roger B. Myerson;Unknown;
411;Roger Guillemin;Unknown;
609;Roger Martin du Gard;Unknown;
422;Roger W. Sperry;Unknown;
831;Roger Y. Tsien;Unknown;
456;Rolf M. Zinkernagel;Unknown;
584;Romain Rolland;Unknown;
234;Ronald G.W. Norrish;Unknown;
707;Ronald H. Coase;Unknown;
294;Ronald Ross;Unknown;
578;Rudolf Eucken;Unknown;
76;Rudolf Mössbauer;Unknown;
577;Rudyard Kipling;Unknown;
143;Russell A. Hulse;Unknown;
742;Ryoji Noyori;Unknown;
631;Saint-John Perse;Unknown;
630;Salvatore Quasimodo;Unknown;
643;Samuel Beckett;Unknown;
106;Samuel C.C. Ting;Unknown;
917;Satoshi Ōmura;Unknown;
367;Severo Ochoa;Unknown;
875;Shinya Yamanaka;Unknown;
908;Shuji Nakamura;Unknown;
680;Simon Kuznets;Unknown;
125;Simon van der Meer;Unknown;
603;Sinclair Lewis;Unknown;
84;Sin-Itiro Tomonaga;Unknown;
339;Sir Alexander Fleming;Unknown;
37;Sir Chandrasekhara Venkata Raman;Unknown;
323;Sir Charles Sherrington;Unknown;
219;Sir Cyril Hinshelwood;Unknown;
369;Sir Frank Macfarlane Burnet;Unknown;
320;Sir Frederick Hopkins;Unknown;
965;Sir Gregory P. Winter;Unknown;
330;Sir Henry Dale;Unknown;
341;Sir Howard Florey;Unknown;
932;Sir J. Fraser Stoddart;Unknown;
437;Sir James W. Black;Unknown;
812;Sir Martin J. Evans;Unknown;
498;Sir Norman Angell;Unknown;
737;Sir Paul Nurse;Unknown;
971;Sir Peter J. Ratcliffe;Unknown;
765;Sir Peter Mansfield;Unknown;
207;Sir Robert Robinson;Unknown;
163;Sir William Ramsay;Unknown;
242;Stanford Moore;Unknown;
910;Stefan W. Hell;Unknown;
152;Steven Chu;Unknown;
122;Subrahmanyan Chandrasekhar;Unknown;
569;Sully Prudhomme;Unknown;
425;Sune K. Bergström;Unknown;
436;Susumu Tonegawa;Unknown;
162;Svante Arrhenius;Unknown;
1011;Svante Pääbo;Unknown;
924;Svetlana Alexievich;Unknown;
999;Syukuro Manabe;Unknown;
919;Takaaki Kajita;Unknown;
959;Tasuku Honjo;Unknown;
551;The 14th Dalai Lama;Unknown;
183;The Svedberg;Unknown;
793;Theodor W. Hänsch;Unknown;
175;Theodore W. Richards;Unknown;
842;Thomas A. Steitz;Unknown;
800;Thomas C. Schelling;Unknown;
886;Thomas C. Südhof;Unknown;
325;Thomas H. Morgan;Unknown;
357;Thomas H. Weller;Unknown;
872;Thomas J. Sargent;Unknown;
274;Thomas R. Cech;Unknown;
736;Tim Hunt;Unknown;
921;Tomas Lindahl;Unknown;
424;Torsten N. Wiesel;Unknown;
828;Toshihide Maskawa;Unknown;
69;Tsung-Dao Lee;Unknown;
918;Tu Youyou;Unknown;
395;Ulf von Euler;Unknown;
748;United Nations;Unknown;
525;United Nations Children's Fund;Unknown;
550;United Nations Peacekeeping Forces;Unknown;
747;V. S. Naipaul;Unknown;
117;Val Fitch;Unknown;
841;Venkatraman Ramakrishnan;Unknown;
760;Vernon L. Smith;Unknown;
653;Vicente Aleixandre;Unknown;
172;Victor Grignard;Unknown;
218;Vincent du Vigneaud;Unknown;
248;Vladimir Prelog;Unknown;
67;Walter H. Brattain;Unknown;
347;Walter Hess;Unknown;
62;Walther Bothe;Unknown;
178;Walther Nernst;Unknown;
683;Wassily Leontief;Unknown;
206;Wendell M. Stanley;Unknown;
361;Werner Forssmann;Unknown;
1;Wilhelm Conrad Röntgen;Unknown;
168;Wilhelm Ostwald;Unknown;
16;Wilhelm Wien;Unknown;
224;Willard F. Libby;Unknown;
839;Willard S. Boyle;Unknown;
315;Willem Einthoven;Unknown;
123;William A. Fowler;Unknown;
65;William B. Shockley;Unknown;
20;William Bragg;Unknown;
968;William D. Nordhaus;Unknown;
911;William E. Moerner;Unknown;
209;William F. Giauque;Unknown;
706;William F. Sharpe;Unknown;
970;William G. Kaelin Jr;Unknown;
660;William Golding;Unknown;
741;William Knowles;Unknown;
249;William Lipscomb;Unknown;
328;William P. Murphy;Unknown;
63;Willis E. Lamb;Unknown;
673;Wisława Szymborska;Unknown;
663;Wole Soyinka;Unknown;
739;Wolfgang Ketterle;Unknown;
137;Wolfgang Paul;Unknown;
994;World Food Programme;Unknown;
642;Yasunari Kawabata;Unknown;
826;Yoichiro Nambu;Unknown;
927;Yoshinori Ohsumi;Unknown;
265;Yuan T. Lee;Unknown;
794;Yves Chauvin;Unknown;
