ID_Laureate;AwardeeDisplayName;Religion;ReligionSubgroup
470;Theodore Roosevelt;Christian;Protestant (Dutch Reformed Church)
692;Theodore W. Schultz;Christian;Protestant
602;Thomas Mann;Christian;Protestant (Lutheran)
687;Tjalling C. Koopmans;Christian;Protestant
868;Tomas Tranströmer;Christian;Christian
670;Toni Morrison;Christian;Roman Catholic
703;Trygve Haavelmo;Christian;Protestant
585;Verner von Heidenstam;Christian;Christian
42;Victor F. Hess;Christian;Roman Catholic
783;Wangari Maathai;Christian;Roman Catholic
414;Werner Arber;Christian;Protestant
38;Werner Heisenberg;Christian;Lutheran
593;William Butler Yeats;Christian;Anglican
916;William C. Campbell;Christian;Roman Catholic
154;William D. Phillips;Christian;Protestant (United Methodist Church)
620;William Faulkner;Christian;Protestant (Episcopalian)
716;William Vickrey;Christian;Quaker
529;Willy Brandt;Christian;Protestant (Lutheran)
624;Winston Churchill;Christian;Anglican
594;Władysław Reymont;Christian;Roman Catholic
483;Woodrow Wilson;Christian;Protestant (Presbyterian)
102;Aage N. Bohr;Jewish;
779;Aaron Ciechanover;Jewish;
259;Aaron Klug;Jewish;
843;Ada E. Yonath;Jewish;
866;Adam G. Riess;Jewish;
729;Alan Heeger;Jewish;
11;Albert A. Michelson;Jewish;
26;Albert Einstein;Jewish;
766;Alexei Abrikosov;Jewish;
479;Alfred Fried;Jewish;
450;Alfred G. Gilman;Jewish;
381;André Lwoff;Jewish;
990;Andrea Ghez;Jewish;
802;Andrew Z. Fire;Jewish;
891;Arieh Warshel;Jewish;
111;Arno Penzias;Jewish;
960;Arthur Ashkin;Jewish;
368;Arthur Kornberg;Jewish;
119;Arthur L. Schawlow;Jewish;
780;Avram Hershko;Jewish;
942;Barry C. Barish;Jewish;
409;Baruch S. Blumberg;Jewish;
419;Baruj Benacerraf;Jewish;
103;Ben R. Mottelson;Jewish;
937;Bob Dylan;Jewish;
629;Boris Pasternak;Jewish;
99;Brian D. Josephson;Jewish;
861;Bruce A. Beutler;Jewish;
105;Burton Richter;Jewish;
431;César Milstein;Jewish;
241;Christian Anfinsen;Jewish;
153;Claude Cohen-Tannoudji;Jewish;
867;Dan Shechtman;Jewish;
415;Daniel Nathans;Jewish;
406;David Baltimore;Jewish;
776;David J. Gross;Jewish;
997;David Julius;Jewish;
149;David M. Lee;Jewish;
93;Dennis Gabor;Jewish;
74;Donald A. Glaser;Jewish;
150;Douglas D. Osheroff;Jewish;
1025;Drew Weissman;Jewish;
446;Edmond H. Fischer;Jewish;
782;Elfriede Jelinek;Jewish;
658;Elias Canetti;Jewish;
548;Elie Wiesel;Jewish;
72;Emilio Segrè;Jewish;
724;Eric Kandel;Jewish;
340;Ernst B. Chain;Jewish;
78;Eugene Wigner;Jewish;
58;Felix Bloch;Jewish;
887;François Englert;Jewish;
380;François Jacob;Jewish;
148;Frederick Reines;Jewish;
355;Fritz Lipmann;Jewish;
12;Gabriel Lippmann;Jewish;
280;George A. Olah;Jewish;
201;George de Hevesy;Jewish;
387;George Wald;Jewish;
142;Georges Charpak;Jewish;
398;Gerald M. Edelman;Jewish;
438;Gertrude B. Elion;Jewish;
31;Gustav Hertz;Jewish;
777;H. David Politzer;Jewish;
