ID_Laureate;Year;Category;LaureateNameFirst;LaureateNameLast;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
151;1996;Physics;Robert C.;Richardson;Duke University;Durham;United States;Durham (United States);Cornell University;Ithaca;United States;Ithaca (United States);Cornell University;Ithaca;United States;Ithaca (United States)
152;1997;Physics;Steven;Chu;University of California;Berkeley;United States;Berkeley (United States);Bell Laboratories (AT&T);New Jersey;United States;New Jersey (United States);Stanford University;Stanford;United States;Stanford (United States)
153;1997;Physics;Claude;Cohen-Tannoudji;École Normale Superiéure (ENS);Paris;France;Paris (France);Université de Paris 07,  École Normale Supérieure;Paris;France;Paris (France);Collège de France;Paris;France;Paris (France)
154;1997;Physics;William D.;Phillips;Massachusetts Institute of Technology;Cambridge;United States;Cambridge (United States);National Bureau of Standards (now the National Institute of Standards and Technology;Gaithersburg;United States;Gaithersburg (United States);National Institute of Standards and Technology (NIST);Gaithersburg;United States;Gaithersburg (United States)
155;1998;Physics;Robert B.;Laughlin;Massachusetts Institute of Technology;Cambridge;United States;Cambridge (United States);University of California,  The Lawrence Livermore National Laboratory;Livermore;United States;Livermore (United States);Stanford University;Palo Alto;United States;Palo Alto (United States)
156;1998;Physics;Horst L.;StÃ¶rmer;Universität Stuttgart;Stuttgart;Germany;Stuttgart (Germany);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States);Columbia University;New York;United States;New York (United States)
157;1998;Physics;Daniel C.;Tsui;University of Chicago;Chicago;United States;Chicago (United States);Bell Laboratories (now: AT&T);Murray Hill;United States;Murray Hill (United States);Princeton University;Princeton;United States;Princeton (United States)
158;1999;Physics;Gerardus;'t Hooft;Utrecht University;Utrecht;Netherlands;Utrecht (Netherlands);Utrecht University;Utrecht;Netherlands;Utrecht (Netherlands);Utrecht University;Utrecht;Netherlands;Utrecht (Netherlands)
159;1999;Physics;Martinus J.G.;Veltman;Utrecht University;Utrecht;Netherlands;Utrecht (Netherlands);Utrecht University;Utrecht;Netherlands;Utrecht (Netherlands);University of Michigan;Ann Arbor;United States;Ann Arbor (United States)
726;2000;Physics;Zhores;Alferov;Electrotechnical Institute;St. Petersburg;Russia;St. Petersburg (Russia);A.F. Ioffe Physico-Technical Institute;St. Petersburg;Russia;St. Petersburg (Russia);A.F. Ioffe Physico-Technical Institute;St. Petersburg;Russia;St. Petersburg (Russia)
728;2000;Physics;Jack;Kilby;No Ph.D. (Master`s degree University of Illinois;Illinois;United States;Illinois (United States);Texas Instruments Incooperated (Bell liscensee);Dallas;United States;Dallas (United States);Texas Instruments Incooperated;Dallas;United States;Dallas (United States)
727;2000;Physics;Herbert;Kroemer;Georg-August-University Göttingen;Göttingen;Germany;Göttingen (Germany);Varian Associates;Paolo Alto;United States;Paolo Alto (United States);University of California;Santa Barbara;United States;Santa Barbara (United States)
738;2001;Physics;Eric;Cornell;Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);University of Colorado;Boulder;United States;Boulder (United States);University of Colorado;Boulder;United States;Boulder (United States)
739;2001;Physics;Wolfgang;Ketterle;Technische Universität (TU) Munich;Garching;Germany;Garching (Germany);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States)
740;2001;Physics;Carl;Wieman;Stanford University;Stanford;United States;Stanford (United States);University of Colorado;Boulder;United States;Boulder (United States);University of Colorado;Boulder;United States;Boulder (United States)
753;2002;Physics;Raymond;Davis Jr.;Yale University;New Haven;United States;New Haven (United States);Brookhaven National Laboratory;Upton;United States;Upton (United States);University of Pennsylvania;Philadelphia;United States;Philadelphia (United States)
755;2002;Physics;Riccardo;Giacconi;Università degli studi di Milano;Milan;Italy;Milan (Italy);American Science and Enginerring;Cambridge;United States;Cambridge (United States);Assoc. Universities Inc.;Washington DC.;United States;Washington DC. (United States)
754;2002;Physics;Masatoshi;Koshiba;University of Rochester;New York;United States;New York (United States);University of Tokyo;Tokyo;Japan;Tokyo (Japan);University of Tokyo;Tokyo;Japan;Tokyo (Japan)
766;2003;Physics;Alexei;Abrikosov;Institute for Physical Problems (now the P.L. Kapitsa Institute);Moscow;Russia;Moscow (Russia);P.L. Kapitsa Institute;Moscow;Russia;Moscow (Russia);Argonne National Laboratory;Argonne;United States;Argonne (United States)
767;2003;Physics;Vitaly L.;Ginzburg;Moscow State University;Moscow;Russia;Moscow (Russia);P.N. Lebedev Physical Institute of the U.S.S.R. Academy of Sciences;Moscow;Russia;Moscow (Russia);P.N. Lebedev Physical Institute of the U.S.S.R. (now Russian) Academy of Sciences;Moscow;Russia;Moscow (Russia)
768;2003;Physics;Anthony J.;Leggett;University of Oxford;Oxford;United Kingdom;Oxford (United Kingdom);University of Sussex;Brighton;United Kingdom;Brighton (United Kingdom);University of Illinois;Urbana;United States;Urbana (United States)
776;2004;Physics;David J.;Gross;University of California;Berkeley;United States;Berkeley (United States);Fermi National Accelarator Laboratory (Fermilab);Batavia;United States;Batavia (United States);University of California;Santa Barbara;United States;Santa Barbara (United States)
777;2004;Physics;H. David;Politzer;Harvard University;Cambridge;United States;Cambridge (United States);Harvard University;Cambridge;United States;Cambridge (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States)
778;2004;Physics;Frank;Wilczek;Princeton University;Princeton;United States;Princeton (United States);Princeton University;Princeton;United States;Princeton (United States);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States)
791;2005;Physics;Roy J.;Glauber;Harvard University;Cambridge;United States;Cambridge (United States);Harvard University;Cambridge;United States;Cambridge (United States);Harvard University;Cambridge;United States;Cambridge (United States)
793;2005;Physics;Theodor W.;HÃ¤nsch;Carnegie Institute of Technology;Pittsburgh;United States;Pittsburgh (United States);University of Colorado;Boulder;United States;Boulder (United States);University of Colorado;Boulder;United States;Boulder (United States)
792;2005;Physics;John L.;Hall;Ruprecht-Karls-Universität Heidelberg;Heidelberg;Germany;Heidelberg (Germany);Max-Planck-Institute of quantum optics (f. Quantumoptik);Garching;Germany;Garching (Germany);Max-Planck-Institute of quantum optics (f. Quantenoptik);Garching;Germany;Garching (Germany)
804;2006;Physics;John C.;Mather;University of California;Berkeley;United States;Berkeley (United States);NASA Goddard Institute for Space Flight Center;Greenbelt;United States;Greenbelt (United States);NASA Goddard Space Flight Center;Greenbelt;United States;Greenbelt (United States)
805;2006;Physics;George F.;Smoot;Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);University of California;Berkeley;United States;Berkeley (United States);University of California;Berkeley;United States;Berkeley (United States)
