ID_Laureate;Year;Category;LaureateNameFirst;LaureateNameLast;ParCatDegreeInstitution;ParCatDegreeCity;ParCatDegreeCountry;ParCatDegreeCityCountry;ParCatWorkInstitution;ParCatWorkCity;ParCatWorkCountry;ParCatWorkCityCountry;ParCatPrizeInstitution;ParCatPrizeCity;ParCatPrizeCountry;ParCatPrizeCityCountry
831;2008;Chemistry;Roger Y.;Tsien;Cambridge University;Cambridge;United Kingdom;Cambridge (United Kingdom);Cambridge University;Cambridge;United Kingdom;Cambridge (United Kingdom);University California;San Diego;United States;San Diego (United States)
841;2009;Chemistry;Venkatraman;Ramakrishnan;Ohio University;Athens;United States;Athens (United States);University of Utah;Salt Lake City;United States;Salt Lake City (United States);Laboratory of Molecular Biology (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom)
842;2009;Chemistry;Thomas A.;Steitz;Harvard University;Cambridge;United States;Cambridge (United States);Yale University;New Haven;United States;New Haven (United States);Yale University;New Haven;United States;New Haven (United States)
843;2009;Chemistry;Ada E.;Yonath;Weizman Institute (WIS);Rehovot;Israel;Rehovot (Israel);Max-Planck Research Unit for Ribosome Structure;Hamburg;Germany;Hamburg (Germany);Weizmann Institute of Science;Rehovot;Israel;Rehovot (Israel)
851;2010;Chemistry;Richard F.;Heck;University California (UCLA);Los Angeles;United States;Los Angeles (United States);University of Delaware;Newark;United States;Newark (United States);University of Delaware;Newark;United States;Newark (United States)
852;2010;Chemistry;Ei-ichi;Negishi;University of Pennsylvania;Philadelphia;United States;Philadelphia (United States);Syracuse University;Syracuse;United States;Syracuse (United States);Purdue University;West Lafayette;United States;West Lafayette (United States)
853;2010;Chemistry;Akira;Suzuki;Hokkaido University;Sapporo;Japan;Sapporo (Japan);Hokkaido University;Sapporo;Japan;Sapporo (Japan);Hokkaido University;Sapporo;Japan;Sapporo (Japan)
867;2011;Chemistry;Dan;Shechtman;Technion-Israel—Institute of Technology;Haifa;Japan;Haifa (Japan);Technion-Israel—Institute of Technology;Haifa;Israel;Haifa (Israel);Technion—Israel Institute of Technology;Haifa;Israel;Haifa (Israel)
879;2012;Chemistry;Brian;Kobilka;Yale University;New Haven;United States;New Haven (United States);Duke University;Durham;United States;Durham (United States);Stanford University;Stanford;United States;Stanford (United States)
878;2012;Chemistry;Robert J.;Lefkowitz;Columbia University;New York;United States;New York (United States);Duke University;Durham;United States;Durham (United States);Duke University Medical Center;Durham;United States;Durham (United States)
889;2013;Chemistry;Martin;Karplus;California Institute of Technology;Pasadena;United States;Pasadena (United States);Harvard University;Cambridge;United States;Cambridge (United States);Université de Strasbourg;Strasbourg;France;Strasbourg (France)
890;2013;Chemistry;Michael;Levitt;Cambridge University;Cambridge;United Kingdom;Cambridge (United Kingdom);Medical Research Council (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom);Stanford University;Stanford;United States;Stanford (United States)
891;2013;Chemistry;Arieh;Warshel;Weizmann Instistute of Science (WIS);Rehovot;Israel;Rehovot (Israel);Medical Research Council (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom);University of Southern California (USC);Los Angeles;United States;Los Angeles (United States)
909;2014;Chemistry;Eric;Betzig;Cornell University;Ithaka;United States;Ithaka (United States);AT&T Bell Laboratories;Murray Hill;United States;Murray Hill (United States);Janelia Research Campus;Ashburn;United States;Ashburn (United States)
910;2014;Chemistry;Stefan W.;Hell;Ruprecht-Karls-Universität Heidelberg;Heidelberg;Germany;Heidelberg (Germany);University of Turku;Turku;Finland;Turku (Finland);Max-Planck-Institute of biophysical chemistry (f. biophysikalische Chemie);Göttingen;Germany;Göttingen (Germany)
911;2014;Chemistry;William E.;Moerner;Cornell University;Ithaka;United States;Ithaka (United States);University of California;San Diego;United States;San Diego (United States);Stanford University;Stanford;United States;Stanford (United States)
450;1994;Medicine;Alfred G.;Gilman;Case Western Reserve University;Cleveland;United States;Cleveland (United States);University of Virginia;Charlottesville;United States;Charlottesville (United States);University of Texas;Dallas;United States;Dallas (United States)
451;1994;Medicine;Martin;Rodbell;University of Washington;Seattle;United States;Seattle (United States);National Institute of Athritis  Metabolism and Digestive Diseases (NIAMD);Bethesda;United States;Bethesda (United States);National Research Triangle Park (RTP);National Institute of Environmental Health Sciences (NIEHS);United States;National Institute of Environmental Health Sciences (NIEHS) (United States)
452;1995;Medicine;Edward B.;Lewis;California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States);California Institute of Technology (Caltech);Pasadena;United States;Pasadena (United States)
453;1995;Medicine;Christiane;NÃ¼sslein-Volhard;Eberhard-Karls-University Tübingen;Tübingen;Germany;Tübingen (Germany);European Molecular Biology Lab. (EMBL);Heidelberg;Germany;Heidelberg (Germany);Max-Planck-Institute f. develomental biology (f. Entwicklungsbiologie);Tübingen;Germany;Tübingen (Germany)
454;1995;Medicine;Eric F.;Wieschaus;Yale University;New Haven;United States;New Haven (United States);European Molecular Biology Lab. (EMBL);Heidelberg;Germany;Heidelberg (Germany);Princeton University;Princeton;United States;Princeton (United States)
455;1996;Medicine;Peter C.;Doherty;University Edinburgh;Edinburgh;United Kingdom;Edinburgh (United Kingdom);Australian National University;Canberra;Australia;Canberra (Australia);St. Jude Children’s Research Hospital;Memphis;United States;Memphis (United States)
456;1996;Medicine;Rolf M.;Zinkernagel;Australian National University;Canberra;Australia;Canberra (Australia);Australian National University;Canberra;Australia;Canberra (Australia);Institute of Exper. Immunology;Zurich;Switzerland;Zurich (Switzerland)
457;1997;Medicine;Stanley B.;Prusiner;University of California;San Francisco;United States;San Francisco (United States);University of California;San Francisco;United States;San Francisco (United States);University of California;San Francisco;United States;San Francisco (United States)
458;1998;Medicine;Robert F.;Furchgott;Northwestern University Chicago;Chicago;United States;Chicago (United States);State University of New York (SUNY) Brooklyn;New York;United States;New York (United States);State University of New York (SUNY) Brooklyn;New York;United States;New York (United States)
459;1998;Medicine;Louis J.;Ignarro;University Minnesota;Minneapolis-St. Paul;United States;Minneapolis-St. Paul (United States);University of California (UCLA);Los Angeles;United States;Los Angeles (United States);University of California (UCLA);Los Angeles;United States;Los Angeles (United States)
460;1998;Medicine;Ferid;Murad;Case Western Reserve University;Cleveland;United States;Cleveland (United States);University of Virginia;Charlottesville;United States;Charlottesville (United States);University of Texas;Houston;United States;Houston (United States)
461;1999;Medicine;GÃ¼nter;Blobel;Eberhard-Karls-University Tübingen;Tübingen;Germany;Tübingen (Germany);Rockefeller University;New York;United States;New York (United States);Rockefeller University;New York;United States;New York (United States)
722;2000;Medicine;Arvid;Carlsson;University of Lund;Lund;Sweden;Lund (Sweden);University of Lund;Lund;Sweden;Lund (Sweden);University of Göteborg;Gothenburg;Sweden;Gothenburg (Sweden)
723;2000;Medicine;Paul;Greengard;John Hopkins University;Baltimore;United States;Baltimore (United States);Yale University;New Haven;United States;New Haven (United States);Rockefeller University;New York;United States;New York (United States)
724;2000;Medicine;Eric;Kandel;New York University;New York;United States;New York (United States);New York University;New York;United States;New York (United States);Columbia University;New York;United States;New York (United States)
735;2001;Medicine;Leland;Hartwell;Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);University of Washington;Seattle;United States;Seattle (United States);Fred Hutchinson Cancer Research Ctr. Seattle;Seattle;United States;Seattle (United States)
736;2001;Medicine;Tim;Hunt;University of Cambridge;Cambridge;United Kingdom;Cambridge (United Kingdom);Marine Biology Lab;Woodshole;United States;Woodshole (United States);Imperial Cancer Research Fund;London;United Kingdom;London (United Kingdom)
737;2001;Medicine;Sir Paul;Nurse;University East Anglia (UEA);Norfolk;United Kingdom;Norfolk (United Kingdom);University of Edinburgh;Edinburgh;United Kingdom;Edinburgh (United Kingdom);Imperial Cancer Research Fund;London;United Kingdom;London (United Kingdom)
750;2002;Medicine;Sydney;Brenner;Oxford University;Oxford;United Kingdom;Oxford (United Kingdom);Medical Research Council (MRC);Cambridge;United Kingdom;Cambridge (United Kingdom);Molecular Sciences Institute;Berkeley;United States;Berkeley (United States)
751;2002;Medicine;H. Robert;Horvitz;Harvard University;Cambridge;United States;Cambridge (United States);Medical Research Council (MRC) Cambridge;Cambridge;United Kingdom;Cambridge (United Kingdom);Massachusetts Institute of Technology (MIT);Cambridge;United States;Cambridge (United States)
752;2002;Medicine;John E.;Sulston;University of Cambridge;Cambridge;United Kingdom;Cambridge (United Kingdom);Medical Research Council (MRC) Cambridge;Cambridge;United Kingdom;Cambridge (United Kingdom);Sanger Institute;Cambridge;United Kingdom;Cambridge (United Kingdom)
764;2003;Medicine;Paul C.;Lauterbur;University of Pittsburgh;Pittsburgh;United States;Pittsburgh (United States);State University of New York (SUNY);New York;United States;New York (United States);University of Illinois;Urbana;United States;Urbana (United States)
765;2003;Medicine;Sir Peter;Mansfield;Queen Mary College;London;United Kingdom;London (United Kingdom);University of Nottingham;Nottingham;United Kingdom;Nottingham (United Kingdom);University of Nottingham;Nottingham;United Kingdom;Nottingham (United Kingdom)
774;2004;Medicine;Richard;Axel;John Hopkins University;Baltimore;United States;Baltimore (United States);Columbia University;New York;United States;New York (United States);Columbia University;New York;United States;New York (United States)
775;2004;Medicine;Linda B.;Buck;University of Texas Southwestern Medical Center;Dallas;United States;Dallas (United States);Columbia University;New York;United States;New York (United States);Fred Hutchinson Cancer Research;Seattle;United States;Seattle (United States)
789;2005;Medicine;Barry J.;Marshall;University of Western Australia;Crawley;Australia;Crawley (Australia);Royal Perth Hospital;Perth;Australia;Perth (Australia);NHMRC Helicobacter pylori Research Laboratory;Perth;Australia;Perth (Australia)
790;2005;Medicine;J. Robin;Warren;University of Adelaide;Adelaide;Australia;Adelaide (Australia);Royal Perth Hospital;Perth;Australia;Perth (Australia);Royal Perth Hospital;Perth;Australia;Perth (Australia)
802;2006;Medicine;Andrew Z.;Fire;Massachusets Institute of Technology (MIT);Cambridge;United States;Cambridge (United States);Carnegie Institution f. Science;Baltimore;United States;Baltimore (United States);Stanford University;Stanford;United States;Stanford (United States)
